         ;0;0.5
        X;1;0.5
        O;2;0.5
       X ;3;0.5
       XO;4;0.354221184771494
       O ;5;0.5
       OX;6;0.36604707031250006
      X  ;7;0.5
      X O;8;0.2679809153687287
      XXO;9;0.5
      XO ;10;0.2679809153687287
      XOX;11;0.5
      XOO;12;0.5
      O  ;13;0.5
      O X;14;0.35425898709838477
      OX ;15;0.3681060850830078
      OXX;16;0.5
      OXO;17;0.5
      OOX;18;0.5
     X   ;19;0.5
     X  O;20;0.39572656250000005
     X XO;21;0.5
     X O ;22;0.39572656250000005
     X OX;23;0.5
     X OO;24;0.5
     XX O;25;0.5
     XXO ;26;0.5
     XXOO;27;0.5
     XO  ;28;0.3814208580228087
     XO X;29;0.5
     XO O;30;0.5
     XOX ;31;0.5
     XOXO;32;0.5
     XOO ;33;0.5
     XOOX;34;0.42781250000000004
     O   ;35;0.5
     O  X;36;0.3628432527219334
     O X ;37;0.36604707031250006
     O XX;38;0.5
     O XO;39;0.5
     O OX;40;0.5
     OX  ;41;0.2679809153687287
     OX X;42;0.5
     OX O;43;0.5
     OXX ;44;0.5
     OXXO;45;0.5
     OXO ;46;0.5
     OXOX;47;0.4625
     OO X;48;0.5
     OOX ;49;0.5
     OOXX;50;0.5
    X    ;51;0.5
    X   O;52;0.2431671116211902
    X  XO;53;0.5
    X  O ;54;0.24788234671607404
    X  OX;55;0.5
    X  OO;56;0.5
    X X O;57;0.5
    X XO ;58;0.5
    X XOO;59;0.4625
    X O  ;60;0.23726731564137588
    X O X;61;0.5
    X O O;62;0.5
    X OX ;63;0.5
    X OXO;64;0.39572656250000005
    X OO ;65;0.5
    X OOX;66;0.39572656250000005
    XX  O;67;0.5
    XX O ;68;0.5
    XX OO;69;0.5
    XXXOO;70;0.5
    XXO  ;71;0.5
    XXO O;72;0.5
    XXOXO;73;0.5
    XXOO ;74;0.5
    XXOOX;75;0.5
    XXOOO;76;0.5
    XO   ;77;0.2396436225951587
    XO  X;78;0.5
    XO  O;79;0.5
    XO X ;80;0.5
    XO XO;81;0.5
    XO O ;82;0.5
    XO OX;83;0.4625
    XOX  ;84;0.5
    XOX O;85;0.4625
    XOXXO;86;0.5
    XOXO ;87;0.5
    XOXOX;88;0.5
    XOXOO;89;0.5
    XOO  ;90;0.5
    XOO X;91;0.39572656250000005
    XOOX ;92;0.39572656250000005
    XOOXX;93;0.5
    XOOXO;94;0.5
    XOOOX;95;0.5
    O    ;96;0.5
    O   X;97;0.36604707031250006
    O  X ;98;0.36604707031250006
    O  XX;99;0.5
    O  XO;100;0.5
    O  OX;101;0.5
    O X  ;102;0.27145331728394084
    O X X;103;0.5
    O X O;104;0.5
    O XX ;105;0.5
    O XXO;106;0.5
    O XO ;107;0.5
    O XOX;108;0.4625
    O O X;109;0.5
    O OX ;110;0.5
    O OXX;111;0.5
    OX   ;112;0.3725580089111329
    OX  X;113;0.5
    OX  O;114;0.5
    OX X ;115;0.5
    OX XO;116;0.5
    OX O ;117;0.5
    OX OX;118;0.5
    OXX  ;119;0.5
    OXX O;120;0.5
    OXXXO;121;0.5
    OXXO ;122;0.4625
    OXXOX;123;0.5
    OXXOO;124;0.5
    OXO  ;125;0.5
    OXO X;126;0.42781250000000004
    OXOX ;127;0.5
    OXOXX;128;0.5
    OXOXO;129;0.5
    OXOOX;130;0.5
    OO  X;131;0.5
    OO X ;132;0.5
    OO XX;133;0.5
    OOX  ;134;0.5
    OOX X;135;0.4625
    OOXX ;136;0.4625
    OOXXX;137;0.5
    OOXXO;138;0.5
    OOXOX;139;0.5
    OOOXX;140;0.5
   X     ;141;0.5
   X    O;142;0.4302189453125
   X   XO;143;0.5
   X   O ;144;0.42781250000000004
   X   OX;145;0.5
   X   OO;146;0.5
   X  X O;147;0.5
   X  XO ;148;0.5
   X  XOO;149;0.5
   X  O  ;150;0.45989843750000003
   X  O X;151;0.5
   X  O O;152;0.5
   X  OX ;153;0.5
   X  OXO;154;0.5
   X  OO ;155;0.5
   X  OOX;156;0.4625
   X X  O;157;0.5
   X X O ;158;0.5
   X X OO;159;0.5
   X XXOO;160;0.5
   X XO  ;161;0.5
   X XO O;162;0.4625
   X XOXO;163;0.5
   X XOO ;164;0.4625
   X XOOX;165;0.5
   X XOOO;166;0.5
   X O   ;167;0.42781250000000004
   X O  X;168;0.5
   X O  O;169;0.5
   X O X ;170;0.5
   X O XO;171;0.5
   X O O ;172;0.5
   X O OX;173;0.5
   X OX  ;174;0.5
   X OX O;175;0.5
   X OXXO;176;0.5
   X OXO ;177;0.5
   X OXOX;178;0.5
   X OXOO;179;0.5
   X OO  ;180;0.5
   X OO X;181;0.4625
   X OOX ;182;0.5
   X OOXX;183;0.5
   X OOXO;184;0.5
   X OOOX;185;0.5
   XX   O;186;0.5
   XX  O ;187;0.5
   XX  OO;188;0.5
   XX XOO;189;0.5
   XX O  ;190;0.5
   XX O O;191;0.4625
   XX OXO;192;0.5
   XX OO ;193;0.42781250000000004
   XX OOX;194;0.5
   XX OOO;195;0.5
   XXX OO;196;0.5
   XXXO O;197;0.5
   XXXOO ;198;0.5
   XXXOOO;199;0.5
   XXO   ;200;0.5
   XXO  O;201;0.5
   XXO XO;202;0.5
   XXO O ;203;0.4625
   XXO OX;204;0.5
   XXO OO;205;0.5
   XXOX O;206;0.5
   XXOXO ;207;0.5
   XXOXOO;208;0.5
   XXOO  ;209;0.42781250000000004
   XXOO X;210;0.5
   XXOO O;211;0.5
   XXOOX ;212;0.5
   XXOOXO;213;0.5
   XXOOO ;214;0.5
   XXOOOX;215;0.4625
   XO    ;216;0.4500202437076626
   XO   X;217;0.5
   XO   O;218;0.5
   XO  X ;219;0.5
   XO  XO;220;0.5
   XO  O ;221;0.5
   XO  OX;222;0.5
   XO X  ;223;0.5
   XO X O;224;0.4625
   XO XXO;225;0.5
   XO XO ;226;0.5
   XO XOX;227;0.5
   XO XOO;228;0.5
   XO O  ;229;0.5
   XO O X;230;0.6546950418989828
   XO OX ;231;0.5
   XO OXX;232;0.5
   XO OXO;233;0.5
   XO OOX;234;0.5
   XOX   ;235;0.5
   XOX  O;236;0.5
   XOX XO;237;0.5
   XOX O ;238;0.5
   XOX OX;239;0.5
   XOX OO;240;0.5
   XOXX O;241;0.5
   XOXXO ;242;0.5
   XOXXOO;243;0.5
   XOXO  ;244;0.4625
   XOXO X;245;0.5
   XOXO O;246;0.5
   XOXOX ;247;0.5
   XOXOXO;248;0.5
   XOXOO ;249;0.5
   XOXOOX;250;0.5
   XOO   ;251;0.5
   XOO  X;252;0.5
   XOO X ;253;0.5
   XOO XX;254;0.5
   XOO XO;255;0.5
   XOO OX;256;0.5
   XOOX  ;257;0.5
   XOOX X;258;0.5
   XOOX O;259;0.5
   XOOXX ;260;0.5
   XOOXXO;261;0.5
   XOOXO ;262;0.5
   XOOXOX;263;0.5
   XOOO X;264;0.5
   XOOOX ;265;0.5
   XOOOXX;266;0.5
   O     ;267;0.5
   O    X;268;0.36040024296102924
   O   X ;269;0.3490680820709229
   O   XX;270;0.5
   O   XO;271;0.5
   O   OX;272;0.5
   O  X  ;273;0.2768242698850454
   O  X X;274;0.5
   O  X O;275;0.5
   O  XX ;276;0.5
   O  XXO;277;0.4625
   O  XO ;278;0.5
   O  XOX;279;0.4625
   O  O X;280;0.5
   O  OX ;281;0.5
   O  OXX;282;0.5
   O X   ;283;0.39572656250000005
   O X  X;284;0.5
   O X  O;285;0.5
   O X X ;286;0.5
   O X XO;287;0.5
   O X O ;288;0.5
   O X OX;289;0.5
   O XX  ;290;0.5
   O XX O;291;0.5
   O XXXO;292;0.5
   O XXO ;293;0.4625
   O XXOX;294;0.5
   O XXOO;295;0.5
   O XO  ;296;0.5
   O XO X;297;0.42781250000000004
   O XOX ;298;0.6726601002562713
   O XOXX;299;0.5
   O XOXO;300;0.5
   O XOOX;301;0.5
   O O  X;302;0.5
   O O X ;303;0.5
   O O XX;304;0.4625
   O OX  ;305;0.5
   O OX X;306;0.4625
   O OXX ;307;0.42781250000000004
   O OXXX;308;0.5
   O OXXO;309;0.5
   O OXOX;310;0.5
   O OOXX;311;0.5
   OX    ;312;0.24788234671607404
   OX   X;313;0.5
   OX   O;314;0.5
   OX  X ;315;0.5
   OX  XO;316;0.5
   OX  O ;317;0.5
   OX  OX;318;0.4625
   OX X  ;319;0.5
   OX X O;320;0.4625
   OX XXO;321;0.5
   OX XO ;322;0.4625
   OX XOX;323;0.5
   OX XOO;324;0.5
   OX O  ;325;0.5
   OX O X;326;0.39572656250000005
   OX OX ;327;0.39572656250000005
   OX OXX;328;0.5
   OX OXO;329;0.5
   OX OOX;330;0.5
   OXX   ;331;0.5
   OXX  O;332;0.4625
   OXX XO;333;0.5
   OXX O ;334;0.5
   OXX OX;335;0.5
   OXX OO;336;0.5
   OXXX O;337;0.5
   OXXXO ;338;0.5
   OXXXOO;339;0.5
   OXXO  ;340;0.7603563774048414
   OXXO X;341;0.5
   OXXO O;342;0.5
   OXXOX ;343;0.5
   OXXOXO;344;0.5
   OXXOO ;345;0.5
   OXXOOX;346;0.5
   OXO   ;347;0.5
   OXO  X;348;0.4625
   OXO X ;349;0.4625
   OXO XX;350;0.5
   OXO XO;351;0.5
   OXO OX;352;0.5
   OXOX  ;353;0.4625
   OXOX X;354;0.5
   OXOX O;355;0.5
   OXOXX ;356;0.5
   OXOXXO;357;0.5
   OXOXO ;358;0.5
   OXOXOX;359;0.5
   OXOO X;360;0.5
   OXOOX ;361;0.5
   OXOOXX;362;0.5
   OO   X;363;0.5
   OO  X ;364;0.5
   OO  XX;365;0.4625
   OO X  ;366;0.5
   OO X X;367;0.42781250000000004
   OO XX ;368;0.42781250000000004
   OO XXX;369;0.5
   OO XXO;370;0.5
   OO XOX;371;0.5
   OO OXX;372;0.5
   OOX   ;373;0.5
   OOX  X;374;0.5
   OOX X ;375;0.5
   OOX XX;376;0.5
   OOX XO;377;0.5
   OOX OX;378;0.5
   OOXX  ;379;0.4625
   OOXX X;380;0.5
   OOXX O;381;0.5
   OOXXX ;382;0.5
   OOXXXO;383;0.5
   OOXXO ;384;0.5
   OOXXOX;385;0.5
   OOXO X;386;0.5
   OOXOX ;387;0.5
   OOXOXX;388;0.5
   OOO XX;389;0.5
   OOOX X;390;0.5
   OOOXX ;391;0.5
   OOOXXX;392;0.5
  X      ;393;0.5
  X     O;394;0.27145331728394084
  X    XO;395;0.5
  X    O ;396;0.2679809153687287
  X    OX;397;0.5
  X    OO;398;0.5
  X   X O;399;0.5
  X   XO ;400;0.5
  X   XOO;401;0.5
  X   O  ;402;0.28511150016437575
  X   O X;403;0.5
  X   O O;404;0.5
  X   OX ;405;0.5
  X   OXO;406;0.5
  X   OO ;407;0.5
  X   OOX;408;0.14362754200372344
  X  X  O;409;0.5
  X  X O ;410;0.5
  X  X OO;411;0.5
  X  XXOO;412;0.5
  X  XO  ;413;0.5
  X  XO O;414;0.4625
  X  XOXO;415;0.5
  X  XOO ;416;0.4625
  X  XOOX;417;0.5
  X  XOOO;418;0.5
  X  O   ;419;0.27145331728394084
  X  O  X;420;0.5
  X  O  O;421;0.5
  X  O X ;422;0.5
  X  O XO;423;0.5
  X  O O ;424;0.5
  X  O OX;425;0.4625
  X  OX  ;426;0.5
  X  OX O;427;0.5
  X  OXXO;428;0.5
  X  OXO ;429;0.5
  X  OXOX;430;0.5
  X  OXOO;431;0.5
  X  OO  ;432;0.5
  X  OO X;433;0.26487312344476915
  X  OOX ;434;0.5
  X  OOXX;435;0.5
  X  OOXO;436;0.5
  X  OOOX;437;0.5
  X X   O;438;0.5
  X X  O ;439;0.5
  X X  OO;440;0.5
  X X XOO;441;0.5
  X X O  ;442;0.5
  X X O O;443;0.5
  X X OXO;444;0.5
  X X OO ;445;0.5
  X X OOX;446;0.5
  X X OOO;447;0.5
  X XX OO;448;0.5
  X XXO O;449;0.5
  X XXOO ;450;0.5
  X XXOOO;451;0.5
  X XO   ;452;0.5
  X XO  O;453;0.5
  X XO XO;454;0.5
  X XO O ;455;0.5
  X XO OX;456;0.5
  X XO OO;457;0.5
  X XOX O;458;0.5
  X XOXO ;459;0.5
  X XOXOO;460;0.5
  X XOO  ;461;0.5
  X XOO X;462;0.5
  X XOO O;463;0.5
  X XOOX ;464;0.5
  X XOOXO;465;0.5
  X XOOO ;466;0.5
  X XOOOX;467;0.36604707031250006
  X O    ;468;0.9489233429934687
  X O   X;469;0.5
  X O   O;470;0.5
  X O  X ;471;0.5
  X O  XO;472;0.4169944561645589
  X O  O ;473;0.5
  X O  OX;474;0.4625
  X O X  ;475;0.5
  X O X O;476;0.45897818431915577
  X O XXO;477;0.5
  X O XO ;478;0.4625
  X O XOX;479;0.5
  X O XOO;480;0.5
  X O O  ;481;0.5
  X O O X;482;0.14362754200372344
  X O OX ;483;0.42781250000000004
  X O OXX;484;0.5
  X O OXO;485;0.5
  X O OOX;486;0.5
  X OX   ;487;0.5
  X OX  O;488;0.9277222965631821
  X OX XO;489;0.5
  X OX O ;490;0.4625
  X OX OX;491;0.5
  X OX OO;492;0.5
  X OXX O;493;0.5
  X OXXO ;494;0.5
  X OXXOO;495;0.5
  X OXO  ;496;0.42781250000000004
  X OXO X;497;0.5
  X OXO O;498;0.5
  X OXOX ;499;0.5
  X OXOXO;500;0.5
  X OXOO ;501;0.5
  X OXOOX;502;0.5
  X OO   ;503;0.5
  X OO  X;504;0.8794642073293684
  X OO X ;505;0.42781250000000004
  X OO XX;506;0.5
  X OO XO;507;0.5
  X OO OX;508;0.5
  X OOX  ;509;0.4625
  X OOX X;510;0.5
  X OOX O;511;0.5
  X OOXX ;512;0.5
  X OOXXO;513;0.5
  X OOXO ;514;0.5
  X OOXOX;515;0.5
  X OOO X;516;0.5
  X OOOX ;517;0.5
  X OOOXX;518;0.5
  XX    O;519;0.5
  XX   O ;520;0.5
  XX   OO;521;0.5
  XX  XOO;522;0.5
  XX  O  ;523;0.5
  XX  O O;524;0.4625
  XX  OXO;525;0.5
  XX  OO ;526;0.4625
  XX  OOX;527;0.5
  XX  OOO;528;0.5
  XX X OO;529;0.5
  XX XO O;530;0.5
  XX XOO ;531;0.5
  XX XOOO;532;0.5
  XX O   ;533;0.5
  XX O  O;534;0.5
  XX O XO;535;0.5
  XX O O ;536;0.4625
  XX O OX;537;0.5
  XX O OO;538;0.5
  XX OX O;539;0.5
  XX OXO ;540;0.5
  XX OXOO;541;0.5
  XX OO  ;542;0.4625
  XX OO X;543;0.5
  XX OO O;544;0.5
  XX OOX ;545;0.5
  XX OOXO;546;0.5
  XX OOO ;547;0.5
  XX OOOX;548;1.4625543920422783e-22
  XXX  OO;549;0.5
  XXX O O;550;0.5
  XXX OO ;551;0.5
  XXX OOO;552;0.5
  XXXXOOO;553;0.5
  XXXO  O;554;0.5
  XXXO O ;555;0.5
  XXXO OO;556;0.5
  XXXOXOO;557;0.5
  XXXOO  ;558;0.5
  XXXOO O;559;0.5
  XXXOOXO;560;0.5
  XXXOOO ;561;0.5
  XXXOOOX;562;0.5
  XXXOOOO;563;0.5
  XXO    ;564;0.5
  XXO   O;565;0.5
  XXO  XO;566;0.5
  XXO  O ;567;0.5
  XXO  OX;568;0.5
  XXO  OO;569;0.5
  XXO X O;570;0.5
  XXO XO ;571;0.5
  XXO XOO;572;0.5
  XXO O  ;573;0.4625
  XXO O X;574;0.5
  XXO O O;575;0.5
  XXO OX ;576;0.5
  XXO OXO;577;0.5
  XXO OO ;578;0.5
  XXO OOX;579;1.8647631910087598e-11
  XXOX  O;580;0.5
  XXOX O ;581;0.5
  XXOX OO;582;0.5
  XXOXXOO;583;0.5
  XXOXO  ;584;0.5
  XXOXO O;585;0.5
  XXOXOXO;586;0.5
  XXOXOO ;587;0.5
  XXOXOOX;588;0.5
  XXOXOOO;589;0.5
  XXOO   ;590;0.4625
  XXOO  X;591;0.5
  XXOO  O;592;0.5
  XXOO X ;593;0.5
  XXOO XO;594;0.5
  XXOO O ;595;0.5
  XXOO OX;596;0.31564653087002514
